No;Tipe_Soal;Job_Function;Tipe_Test;Job_Position;Module;Sub_Module_Learning_Point;Technical_Competency;Level_Competency;Question;A;B;C;D;Answer
48;pilihanganda;General ;Quiz;ALL;WELCOMING KIT;EBEK, AFMS dan PMN;;;Batas transaksi menggunakan uang tunai yang wajib dilaporkan ke PPATK adalah senilai ;?250 juta ;? 500 Juta ;? 750 Juta ;? 100 Juta ;c
49;pilihanganda;General ;Quiz;ALL;WELCOMING KIT;EBEK, AFMS dan PMN;;;Apa sanksi yang diberikan jika pihak ACC tidak melaporkan adanya transaksi ? 500 Juta ? ;SP 3 ;Pencabutan izin usaha ;PHK ;denda administratif ;d
50;pilihanganda;General ;Quiz;ALL;WELCOMING KIT;New Employee Starter Kit;;;Akses digital learning bisa dilakukan melalui ;Aplikasi ACC Digilibrary;website ACC Digilibrary ;ACC Perfect ;A dan B benar;d
51;pilihanganda;General ;Quiz;ALL;WELCOMING KIT;New Employee Starter Kit;;;Cek in - dan cek out ;Talents ;Oracle ;ACC Perfect ;ACC Learning ;a
52;pilihanganda;General ;Quiz;ALL;WELCOMING KIT;New Employee Starter Kit;;;untuk mencari istilah yang ada di ACC bisa dicari di ;ACCPedia ;ACCMe;ACC Perfect ;ACCIT Center;a
53;pilihanganda;General ;Quiz;ALL;WELCOMING KIT;New Employee Starter Kit;;;Komponen PH Murni + dengan biaya Asuransi menghasilkan ;PH Murni;Pokok hutang ;AR ;Nilai angsuran ;b
54;pilihanganda;General ;Quiz;ALL;WELCOMING KIT;New Employee Starter Kit;;;Cetak surat PKWT bisa dilakukan melalui ;Talents ;Oracle ;ACC Perfect ;ACC Learning ;a
55;pilihanganda;General ;Quiz;ALL;WELCOMING KIT;Yang perlu kamu tahu tentang ACC;;;Dalam pasal 108 ayat (1) dalam UU ketenagakerjaan menyebutkan bahwa Pengusaha yang memperkerjakan pekerja/buruh sekurang-kurangnya 10 (sepuluh) orang wajib membuat peraturan perusahaan yang mulai berlaku setelah disahkan oleh Menteri atau pejabat yang ditunjuk. Ini merupakan definisi dari ;Peraturan perusahaan ;Dasar hukum ;Etika Bisnis ;Etika Kerja ;b
56;pilihanganda;General ;Quiz;ALL;WELCOMING KIT;Yang perlu kamu tahu tentang ACC;;;Persyaratan umum minimal memperkerjakan karyawan baru adalah berusia ;17 Tahun ;18 Tahun ;16 Tahun ;19 Tahun ;b
57;pilihanganda;General ;Quiz;ALL;WELCOMING KIT;Yang perlu kamu tahu tentang ACC;;;Rudi baru bergabung di ACC per Maret 2020, Berapa yang akan diterima oleh Nesya pada saat penerimaan THR di bulan mei ?;Tidak dapat THR ;1/3 X Gaji Pokok ;2/3 X Gaji Pokok ;1 X Gaji Pokok ;b
58;pilihanganda;General ;Quiz;ALL;WELCOMING KIT;Yang perlu kamu tahu tentang ACC;;;Karyawan yang pulang sebelum waktunya lebih dari 5 (lima) sampai dengan 10 (sepuluh) kali dalam sebulan tanpa ijin tertulis dari atasannya, akan diberikan peringatan berupa;Surat Peringatan 1;Surat Peringatan 2;Surat Peringatan 3;Surat Teguran ;a
59;pilihanganda;General ;Quiz;ALL;WELCOMING KIT;Yang perlu kamu tahu tentang ACC;;;Penghargaan purna bakti diberikan kepada karyawan yang ;mempunyai masa kerja 10 Tahun ;mempunyai masa kerja 20 Tahun ;mempunyai masa kerja sampai batas usia  kerja;mempunyai masa kerja 25 Tahun ;c
60;pilihanganda;General ;Quiz;ALL;WELCOMING KIT;Yang perlu kamu tahu tentang ACC;;;Warna Hijau identik dengan ACC Values ;Integrity ;Customer Satisfaction ;Teamwork;Quality;c
61;pilihanganda;General ;Quiz;ALL;WELCOMING KIT;Yang perlu kamu tahu tentang ACC;;;Value ACC - Quality identik dengan warna…;Merah ;Biru ;Kuning ;Hijau ;a
62;pilihanganda;General ;Quiz;ALL;WELCOMING KIT;Yang perlu kamu tahu tentang ACC;;;Berani mengungkapkan adalah key behaviour dalam …. ;Quality ;Teamwork ;Customer Satisfaction ;Integrity ;d
63;pilihanganda;General ;Quiz;ALL;WELCOMING KIT;Do & Don't Komunikasi via Telepon;;;Surat Peringatan 2 memiliki konsekuensi.. ;hasil penilaian secara negatif ;mempengaruhi kenaikan golongan;pemutusan pekerjaan ;proses mutasi ;b
64;pilihanganda;General ;Quiz;ALL;WELCOMING KIT;Do & Don't Komunikasi via Telepon;;;Standar dalam mengangkat telepon di ACC, antara lain ;Mengucapkan Nama ;Mengucapkan salam ;A dan B benar ;Menyebutkan PT pembiayaan di ACC;b
65;pilihanganda;General ;Quiz;ALL;WELCOMING KIT;Do & Don't Komunikasi via Telepon;;;Nomor telepon Kontak ACC adalah ;1500-599;1500-589;1500-405;1500-559;a
66;pilihanganda;General ;Quiz;ALL;WELCOMING KIT;Do & Don't Komunikasi via Telepon;;;Unsur komunikasi dalam telepon, antara lain ;Intonasi ;Sikap ;Itikad;Semua benar ;a
67;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Produk apa yang dijual ?;;;Dealer yang menjual mobil baru dengan merek Honda, Mazda, Nissan disebut dengan ;Dealer New Car;Dealer Direct;Dealer Indirect ;Dealer NONA;d
68;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Produk apa yang dijual ?;;;Dealer yang menjual mobil bekas dengan merek Toyota, Isuzu, Daihatsu  disebut dengan ;Dealer Direct-Used ;Dealer Indirect-Used ;Dealer Used Astra ;Dealer Used ;d
69;benar_salah;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Produk apa yang dijual ?;;;Dealer Direct adalah dealer yang dimiliki oleh Astra dan menjual produk Astra;;;;;benar 
70;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Produk apa yang dijual ?;;;Armada International motor menjual mobil baru dengan merek yang dimiliki oleh Astra, maka disebut dengan dealer ;Direct ;Indirect;Used ;NONA;c
71;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Produk apa yang dijual ?;;;MSCP biasa dipakai untuk menghitung DO Kredit ACC pada dealer ;Direct ;Indirect;Used ;NONA;a
72;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Produk apa yang dijual ?;;;MSTR biasa dipakai untuk menghitung DO Kredit ACC pada dealer ;Direct ;Indirect;Used ;NONA;b
73;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Produk apa yang dijual ?;;;Target MSCP Toyota pada tahun 2020 adalah ;40%;60%;65%;50%;a
74;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Produk apa yang dijual ?;;;Target MSCP Daihatsu pada tahun 2020 adalah ;40%;60%;65%;50%;b
75;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Produk apa yang dijual ?;;;Persentasi jumlah valid ACC dibandingkan total DO di dealer rumus  ? ;MSCP ;MSTR ;MSCB ;MSTP ;b
76;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Produk apa yang dijual ?;;;Yang termasuk prinsip syariah, adalah ;Keadilan ;Keterbukaan ;semua jawaban benar;universal ;c
77;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Produk apa yang dijual ?;;;Sumber pendanaan untuk pembiayaan syariah adalah ;Bank Asing ;Bank konvensional ;Bank Syariah ;Bank Daerah ;c
78;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Produk apa yang dijual ?;;;Keuntungan dalam pembiayaan syariah dikenal dengan istilah ;Margin keuntungan ;Murabahah ;Bunga ;Ta'zir ;b
79;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Bagaimana proses taksasi ?;;;Sesuai ketetapan taksasi ACC, ada berapa syarat foto yang ada dalam taksasi?;9;10;11;12;c
80;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Bagaimana proses taksasi ?;;;Sesuai ketetapan taksasi ACC, ada berapa syarat foto yang ada dalam taksasi?;9;10;11;12;c
81;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Bagaimana proses taksasi ?;;;Berikut ini yang tidak termasuk dalam tahapan dalam melakukan taksasi kendaraan adalah;Cek Harga Pasar;Isi FAP;Cek Kondisi Unit;Upload Galeri Taksasi;B
82;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Bagaimana proses taksasi ?;;;Berikut ini yang tidak termasuk dalam tahapan dalam melakukan taksasi kendaraan adalah;Cek Harga Pasar;Isi FAP;Cek Kondisi Unit;Upload Galeri Taksasi;B
83;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Bagaimana proses taksasi ?;;;Dalam taksasi unit, gesekan nomor yang diperlukan adalah..;Nomor rangka dan nomor mesin;Nomor polisi;Nomor jumlah kilometer;Nomor ban;a
84;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Bagaimana proses taksasi ?;;;Dalam taksasi unit, gesekan nomor yang diperlukan adalah..;Nomor rangka dan nomor mesin;Nomor polisi;Nomor jumlah kilometer;Nomor ban;a
85;pilihanganda;SALES;Quiz;SO;NEOP Sales Multiguna ;Produk apa yang dijual ?;;;Dealer yang menjual mobil baru dengan merek Honda, Mazda, Nissan disebut dengan ;Dealer New Car;Dealer Direct;Dealer Indirect ;Dealer NONA;d
86;pilihanganda;SALES;Quiz;SO;NEOP Sales Multiguna ;Produk apa yang dijual ?;;;Dealer yang menjual mobil bekas dengan merek Toyota, Isuzu, Daihatsu  disebut dengan ;Dealer Direct-Used ;Dealer Indirect-Used ;Dealer Used Astra ;Dealer Used ;d
87;benar_salah;SALES;Quiz;SO;NEOP Sales Multiguna ;Produk apa yang dijual ?;;;Dealer Direct adalah dealer yang dimiliki oleh Astra dan menjual produk Astra;;;;;benar 
88;pilihanganda;SALES;Quiz;SO;NEOP Sales Multiguna ;Produk apa yang dijual ?;;;Armada International motor menjual mobil baru dengan merek yang dimiliki oleh Astra, maka disebut dengan dealer ;Direct ;Indirect;Used ;NONA;c
89;pilihanganda;SALES;Quiz;SO;NEOP Sales Multiguna ;Produk apa yang dijual ?;;;MSCP biasa dipakai untuk menghitung DO Kredit ACC pada dealer ;Direct ;Indirect;Used ;NONA;a
90;pilihanganda;SALES;Quiz;SO;NEOP Sales Multiguna ;Produk apa yang dijual ?;;;MSTR biasa dipakai untuk menghitung DO Kredit ACC pada dealer ;Direct ;Indirect;Used ;NONA;b
91;pilihanganda;SALES;Quiz;SO;NEOP Sales Multiguna ;Produk apa yang dijual ?;;;Target MSCP Toyota pada tahun 2020 adalah ;40%;60%;65%;50%;a
92;pilihanganda;SALES;Quiz;SO;NEOP Sales Multiguna ;Produk apa yang dijual ?;;;Target MSCP Daihatsu pada tahun 2020 adalah ;40%;60%;65%;50%;b
93;pilihanganda;SALES;Quiz;SO;NEOP Sales Multiguna ;Produk apa yang dijual ?;;;Persentasi jumlah valid ACC dibandingkan total DO di dealer rumus  ? ;MSCP ;MSTR ;MSCB ;MSTP ;b
94;pilihanganda;SALES;Quiz;SO;NEOP Sales Multiguna ;Produk apa yang dijual ?;;;Yang termasuk prinsip syariah, adalah ;Keadilan ;Keterbukaan ;semua jawaban benar;universal ;c
95;pilihanganda;SALES;Quiz;SO;NEOP Sales Multiguna ;Produk apa yang dijual ?;;;Sumber pendanaan untuk pembiayaan syariah adalah ;Bank Asing ;Bank konvensional ;Bank Syariah ;Bank Daerah ;c
96;pilihanganda;SALES;Quiz;SO;NEOP Sales Multiguna ;Produk apa yang dijual ?;;;Keuntungan dalam pembiayaan syariah dikenal dengan istilah ;Margin keuntungan ;Murabahah ;Bunga ;Ta'zir ;b
97;pilihanganda;SALES;Quiz;SO;NEOP Sales Multiguna ;Bagaimana proses taksasi ?;;;Sesuai ketetapan taksasi ACC, ada berapa syarat foto yang ada dalam taksasi?;9;10;11;12;c
98;pilihanganda;SALES;Quiz;SO;NEOP Sales Multiguna ;Bagaimana proses taksasi ?;;;Sesuai ketetapan taksasi ACC, ada berapa syarat foto yang ada dalam taksasi?;9;10;11;12;c
99;pilihanganda;SALES;Quiz;SO;NEOP Sales Multiguna ;Bagaimana proses taksasi ?;;;Berikut ini yang tidak termasuk dalam tahapan dalam melakukan taksasi kendaraan adalah;Cek Harga Pasar;Isi FAP;Cek Kondisi Unit;Upload Galeri Taksasi;B
100;pilihanganda;SALES;Quiz;SO;NEOP Sales Multiguna ;Bagaimana proses taksasi ?;;;Berikut ini yang tidak termasuk dalam tahapan dalam melakukan taksasi kendaraan adalah;Cek Harga Pasar;Isi FAP;Cek Kondisi Unit;Upload Galeri Taksasi;B
101;pilihanganda;SALES;Quiz;SO;NEOP Sales Multiguna ;Bagaimana proses taksasi ?;;;Dalam taksasi unit, gesekan nomor yang diperlukan adalah..;Nomor rangka dan nomor mesin;Nomor polisi;Nomor jumlah kilometer;Nomor ban;a
102;pilihanganda;SALES;Quiz;SO;NEOP Sales Multiguna ;Bagaimana proses taksasi ?;;;Dalam taksasi unit, gesekan nomor yang diperlukan adalah..;Nomor rangka dan nomor mesin;Nomor polisi;Nomor jumlah kilometer;Nomor ban;a
103;pilihanganda;services;Quiz;CSO;NEOP CSO;Apa yang dikerjakan? ;;;Perubahan isi kontrak karena adanya perubahan unit yang dibiayai disebut dengan ;Amandemen Ganti Unit ;Amandemen PPHK;Amandemen Rescheduling ;Amandemen ganti mobil ;a
104;pilihanganda;services;Quiz;CSO;NEOP CSO;Apa yang dikerjakan? ;;;Pengalihan kontrak dari nasabah lama ke nasabah baru yang akan melanjutkan pembayaran secara kredit disebut;Amandemen Ganti Unit ;Amandemen PPHK;Amandemen Rescheduling ;Prepayment;b
105;pilihanganda;services;Quiz;CSO;NEOP CSO;Apa yang dikerjakan? ;;;PH x rate baru x tenor adalah rumus untuk mencari ;Nilai Pokok Hutang ;Nilai bunga baru ;Nilai Angsuran Baru ;Nilai AR baru ;b 
106;benar_salah;services;Quiz;CSO;NEOP CSO;Apa yang dikerjakan? ;;;Cabang handling adalah cabang yang akan menangani customer jika overdue ;;;;;benar 
